19,Superhero,Graphic Fantasy,1
21,Memoir ,Graphic Memoir,0
25,Mystery,Graphic Fantasy,1
26,Horror,Graphic Fantasy,1
27,Comedy,Humor,1
29,Romance,Graphic Novel,1
30,Drama,Graphic Novel,1
32,Fantasy,Graphic Fantasy,1
34,Literary Fiction,Graphic Novel,1
35,Science Fiction,Graphic Fantasy,1
37,Non-Fiction,Non-Fiction,0
39,Adventure ,Graphic Novel,1
42,Action/Adventure,Graphic Novel,1
47,Humor,Humor,1
50,Biography,Non-Fiction,0
55,Crime,Graphic Novel,1
68,Western,Graphic Novel,1
72,Historical Fiction,Graphic Novel,1
74,Adult,Miscellaneous,1
75,Educational ,Non-Fiction,0
76,Satire,Humor,1
78,Travel Writing,Non-Fiction,0
80,Historical Non-Fiction,Non-Fiction,0
84,Coming of Age,Graphic Novel,1
85,Sports,Miscellaneous,0
86,Fairy Tale ,Graphic Fantasy,1
87,Graphic Journalism,Non-Fiction,
88,Fiction,Graphic Novel,0
